x_cm,y_cm,z_cm,bx_T,by_T,bz_T
  -20.0000,    1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
  -20.0000,    3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
  -10.0000,   -3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
  -10.0000,   -1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
  -10.0000,    0.0000,   60.0000, -0.00000000E+00,  0.21561204E+00,  0.00000000E+00
  -10.0000,    1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
  -10.0000,    3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
    0.0000,   -3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
    0.0000,   -1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
    0.0000,    0.0000,   60.0000, -0.00000000E+00,  0.21561204E+00,  0.00000000E+00
    0.0000,    1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
    0.0000,    3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   10.0000,   -3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   10.0000,   -1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   10.0000,    0.0000,   60.0000, -0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   10.0000,    1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   10.0000,    3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   20.0000,   -3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   20.0000,   -1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   20.0000,    0.0000,   60.0000, -0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   20.0000,    1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   20.0000,    3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   30.0000,   -3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   30.0000,   -1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   30.0000,    0.0000,   60.0000, -0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   30.0000,    1.5000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
   30.0000,    3.0000,   60.0000,  0.00000000E+00,  0.21561204E+00,  0.00000000E+00
