name,x_cm,y_cm,z_cm,bx_T,by_T,bz_T
Q3  ,   -3.9750,   -3.9750,  -17.1875,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -1.9875,  -17.1875,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    0.0000,  -17.1875, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,   -3.9750,    1.9875,  -17.1875, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    3.9750,  -17.1875, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,   -3.9750,  -17.1875,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,   -1.9875,   -1.9875,  -17.1875,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,    0.0000,  -17.1875, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,   -1.9875,    1.9875,  -17.1875, -0.11446750E-02, -0.12868803E-18, -0.00000000E+00
Q3  ,   -1.9875,    3.9750,  -17.1875, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    0.0000,   -3.9750,  -17.1875, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    0.0000,   -1.9875,  -17.1875, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    0.0000,  -17.1875, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
Q3  ,    0.0000,    1.9875,  -17.1875, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    3.9750,  -17.1875, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    1.9875,   -3.9750,  -17.1875, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    1.9875,   -1.9875,  -17.1875, -0.11446750E-02,  0.12868803E-18, -0.00000000E+00
Q3  ,    1.9875,    0.0000,  -17.1875, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,    1.9875,    1.9875,  -17.1875,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    1.9875,    3.9750,  -17.1875,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,   -3.9750,  -17.1875, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    3.9750,   -1.9875,  -17.1875, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    0.0000,  -17.1875, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,    3.9750,    1.9875,  -17.1875,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    3.9750,  -17.1875,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -3.9750,  -13.7500,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -1.9875,  -13.7500,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    0.0000,  -13.7500, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,   -3.9750,    1.9875,  -13.7500, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    3.9750,  -13.7500, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,   -3.9750,  -13.7500,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,   -1.9875,   -1.9875,  -13.7500,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,    0.0000,  -13.7500, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,   -1.9875,    1.9875,  -13.7500, -0.11446750E-02, -0.12868803E-18, -0.00000000E+00
Q3  ,   -1.9875,    3.9750,  -13.7500, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    0.0000,   -3.9750,  -13.7500, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    0.0000,   -1.9875,  -13.7500, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    0.0000,  -13.7500, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
Q3  ,    0.0000,    1.9875,  -13.7500, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    3.9750,  -13.7500, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    1.9875,   -3.9750,  -13.7500, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    1.9875,   -1.9875,  -13.7500, -0.11446750E-02,  0.12868803E-18, -0.00000000E+00
Q3  ,    1.9875,    0.0000,  -13.7500, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,    1.9875,    1.9875,  -13.7500,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    1.9875,    3.9750,  -13.7500,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,   -3.9750,  -13.7500, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    3.9750,   -1.9875,  -13.7500, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    0.0000,  -13.7500, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,    3.9750,    1.9875,  -13.7500,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    3.9750,  -13.7500,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -3.9750,  -10.3125,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -1.9875,  -10.3125,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    0.0000,  -10.3125, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,   -3.9750,    1.9875,  -10.3125, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    3.9750,  -10.3125, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,   -3.9750,  -10.3125,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,   -1.9875,   -1.9875,  -10.3125,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,    0.0000,  -10.3125, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,   -1.9875,    1.9875,  -10.3125, -0.11446750E-02, -0.12868803E-18, -0.00000000E+00
Q3  ,   -1.9875,    3.9750,  -10.3125, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    0.0000,   -3.9750,  -10.3125, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    0.0000,   -1.9875,  -10.3125, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    0.0000,  -10.3125, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
Q3  ,    0.0000,    1.9875,  -10.3125, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    3.9750,  -10.3125, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    1.9875,   -3.9750,  -10.3125, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    1.9875,   -1.9875,  -10.3125, -0.11446750E-02,  0.12868803E-18, -0.00000000E+00
Q3  ,    1.9875,    0.0000,  -10.3125, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,    1.9875,    1.9875,  -10.3125,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    1.9875,    3.9750,  -10.3125,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,   -3.9750,  -10.3125, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    3.9750,   -1.9875,  -10.3125, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    0.0000,  -10.3125, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,    3.9750,    1.9875,  -10.3125,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    3.9750,  -10.3125,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -3.9750,   -6.8750,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -1.9875,   -6.8750,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    0.0000,   -6.8750, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,   -3.9750,    1.9875,   -6.8750, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    3.9750,   -6.8750, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,   -3.9750,   -6.8750,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,   -1.9875,   -1.9875,   -6.8750,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,    0.0000,   -6.8750, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,   -1.9875,    1.9875,   -6.8750, -0.11446750E-02, -0.12868803E-18, -0.00000000E+00
Q3  ,   -1.9875,    3.9750,   -6.8750, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    0.0000,   -3.9750,   -6.8750, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    0.0000,   -1.9875,   -6.8750, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    0.0000,   -6.8750, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
Q3  ,    0.0000,    1.9875,   -6.8750, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    3.9750,   -6.8750, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    1.9875,   -3.9750,   -6.8750, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    1.9875,   -1.9875,   -6.8750, -0.11446750E-02,  0.12868803E-18, -0.00000000E+00
Q3  ,    1.9875,    0.0000,   -6.8750, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,    1.9875,    1.9875,   -6.8750,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    1.9875,    3.9750,   -6.8750,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,   -3.9750,   -6.8750, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    3.9750,   -1.9875,   -6.8750, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    0.0000,   -6.8750, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,    3.9750,    1.9875,   -6.8750,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    3.9750,   -6.8750,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -3.9750,   -3.4375,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -1.9875,   -3.4375,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    0.0000,   -3.4375, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,   -3.9750,    1.9875,   -3.4375, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,   -3.9750,    3.9750,   -3.4375, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,   -3.9750,   -3.4375,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,   -1.9875,   -1.9875,   -3.4375,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -1.9875,    0.0000,   -3.4375, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,   -1.9875,    1.9875,   -3.4375, -0.11446750E-02, -0.12868803E-18, -0.00000000E+00
Q3  ,   -1.9875,    3.9750,   -3.4375, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    0.0000,   -3.9750,   -3.4375, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    0.0000,   -1.9875,   -3.4375, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    0.0000,   -3.4375, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
Q3  ,    0.0000,    1.9875,   -3.4375, -0.00000000E+00, -0.57233750E-03, -0.00000000E+00
Q3  ,    0.0000,    3.9750,   -3.4375, -0.00000000E+00, -0.22893500E-02, -0.00000000E+00
Q3  ,    1.9875,   -3.9750,   -3.4375, -0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    1.9875,   -1.9875,   -3.4375, -0.11446750E-02,  0.12868803E-18, -0.00000000E+00
Q3  ,    1.9875,    0.0000,   -3.4375, -0.00000000E+00,  0.57233750E-03, -0.00000000E+00
Q3  ,    1.9875,    1.9875,   -3.4375,  0.11446750E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    1.9875,    3.9750,   -3.4375,  0.22893500E-02, -0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,   -3.9750,   -3.4375, -0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,    3.9750,   -1.9875,   -3.4375, -0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    0.0000,   -3.4375, -0.00000000E+00,  0.22893500E-02, -0.00000000E+00
Q3  ,    3.9750,    1.9875,   -3.4375,  0.22893500E-02,  0.17170125E-02, -0.00000000E+00
Q3  ,    3.9750,    3.9750,   -3.4375,  0.45787000E-02,  0.00000000E+00, -0.00000000E+00
Q3  ,   -3.9750,   -3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    0.0000,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    0.0000,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    0.0000,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -3.9750,    0.0000,  0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -1.9875,    0.0000,  0.43368087E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    0.0000,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    3.9750,    0.0000, -0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    0.0000,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    1.9875,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    3.9750,    0.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    0.0000,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    0.0000,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    0.0000,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -3.9750,    3.4375,  0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -1.9875,    3.4375,  0.43368087E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    0.0000,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    3.9750,    3.4375, -0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    0.0000,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    1.9875,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    3.9750,    3.4375,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    0.0000,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    0.0000,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    0.0000,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -3.9750,    6.8750,  0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -1.9875,    6.8750,  0.43368087E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    0.0000,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    3.9750,    6.8750, -0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    0.0000,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    1.9875,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    3.9750,    6.8750,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    0.0000,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    0.0000,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    0.0000,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -3.9750,   10.3125,  0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -1.9875,   10.3125,  0.43368087E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    0.0000,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    3.9750,   10.3125, -0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    0.0000,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    1.9875,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    3.9750,   10.3125,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    0.0000,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,    3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,   -1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    0.0000,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -1.9875,    3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,   -1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    0.0000,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    0.0000,    3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -3.9750,   13.7500,  0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,   -1.9875,   13.7500,  0.43368087E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    0.0000,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    1.9875,    3.9750,   13.7500, -0.86736174E-18,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,   -1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    0.0000,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    1.9875,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,    3.9750,    3.9750,   13.7500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -3.9750,   17.1875,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
Q3  ,   -3.9750,   -1.9875,   17.1875,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
